"","way_id","sessions","points"
"144",13275751,19,826
"145",13276167,3,175
"146",13276498,38,4023
"147",13277299,40,2203
"148",13277357,53,2982
"149",13278020,38,2025
"150",13278159,8,446
"151",13278632,14,317
"152",13278787,32,464
"153",13279817,1,17
"154",13281765,4,133
"155",13530808,23,171
"156",13702685,5,815
"157",13702711,9,342
"158",13702954,5,117
"159",13703039,60,513
"160",13703046,57,91
"161",13703054,53,2979
"162",13703057,29,58
"163",13703302,1,7
"164",13703336,14,30
"165",13703402,22,503
"166",13703488,22,130
"167",13704034,2,30
"168",13704086,5,18
"169",13712233,7,231
"170",13712337,3,45
"171",13712407,15,62
"172",13712456,2,5
"173",13712631,11,132
"174",13712762,1,3
"175",13712770,4,49
"176",13712830,10,54
"177",13713599,12,69
"178",13713704,3,14
"179",13713710,3,6
"180",13713752,3,12
"181",13713756,5,36
"182",13713844,13,115
"183",13713923,3,200
"184",13713959,11,196
"185",13713991,1,3
"186",13714214,45,2804
"187",13714507,14,59
"188",13714675,22,1427
"189",13714843,34,3251
"190",13715015,52,1485
"191",13715172,30,2141
"192",13715388,17,620
"193",13715487,20,1079
"194",13715562,24,1361
"195",13716129,5,28
"196",13716160,8,183
"197",13716336,5,93
"198",13716624,3,53
"199",13797528,33,515
"200",13797599,46,3942
"201",13797704,33,1885
"202",13797785,116,2719
"203",13797813,83,1982
"204",13797817,113,512
"205",13797865,20,421
"206",13797903,29,993
"207",13797951,35,1867
"208",13797988,17,739
"209",13798046,76,1502
"210",13798089,49,341
"211",13798105,27,57
"212",13798158,36,664
"213",13798192,29,475
"214",13798242,49,2231
"215",13798272,6,100
"216",13798291,104,3442
"217",13798541,39,222
"218",13798545,12,145
"219",13798575,9,98
"220",13798688,45,451
"221",13798697,40,2240
"222",13798716,39,733
"223",13798768,31,122
"224",13798803,7,20
"225",13798889,2,13
"226",13798931,5,58
"227",13799456,38,141
"228",13799462,25,388
"229",13799514,44,121
"230",13799659,7,384
"231",13799864,10,76
"232",13800268,12,289
"233",13800986,4,37
"234",13801323,24,135
"235",13801868,34,153
"236",13802005,15,71
"237",13828712,46,152
"238",13836129,4,58
"239",13836474,1,7
"240",13843680,9,281
"241",13848026,9,266
"242",13848119,2,9
"243",13848683,8,242
"244",13848688,49,2196
"245",13848825,40,1704
"246",13848836,25,548
"247",13849075,9,69
"248",13849088,20,534
